preset,volumeId,title,queries,publicationShape,categories,pageCount,shapePassed,enteredScoring,reason,inferredAudienceBand,formatIdentity,audienceDecision,audienceRejectionReason,recommendationIdentity,descriptionSnippet
Test A,DcL2zgEACAAJ,"Randy The Lonely Rabbit","kids friendship picture book",unknown,"",36,false,false,,,,,,,"This beautifully illustrated book is for children who are looking to make new friends at school. It features kid-friendly illustrations, an easy-to-read text format, and offers a c"
Test A,BmXozgEACAAJ,"Maks The Cat Makes Friends","kids friendship picture book",novel,"",32,true,true,entered_scoring,kids,picture_book,accepted_k2_independent_audience_and_format,,ambiguous,"How do you find friends and have fun? If you want to teach your child the importance of friendship, then this cute picture book ebook is the right choice for you. Whether your chil"
Test A,B2P7AwAAQBAJ,"Giraffe and Elephant Are Friends (A Children's Picture Book)","kids friendship picture book",unknown,"Juvenile Fiction",29,false,false,,,,,,,"Children's author David Eastman presents ""Giraffe and Elephant Are Friends."" The book uses captivating illustrations and carefully chosen words to teach young children about friend"
Test A,AKltswEACAAJ,"Friends Together. [A Picture Book for Children.].","kids friendship picture book",unknown,"",,false,false,,,,,,,""
Test A,EY8B5oAYIn8C,"International Friendship Thru Children's Books","kids friendship picture book",unknown,"Children's literature",16,false,false,,,,,,,"... <b>children</b> - Macmillan Home book of verse for young folks - Holt This singing world - Harcourt Come hither - Knopf <b>PICTURE BOOKS</b> With English text <b>Picture book</"
Test A,wyWUygEACAAJ,"The Wheels -The Friendship Race","kids friendship picture book",novel,"Juvenile Fiction",32,true,true,entered_scoring,kids,picture_book,accepted_k2_independent_audience_and_format,,ambiguous,"What is friendship? Join three good friends as they discover what real friendship means. They start a race, but decide to finish it together, helping a friend who got in trouble. T"
Test A,jdd20QEACAAJ,"A Friend Is Someone Who - A Children's Book About Friendship for Kids Ages 3-9 - Discover the Keys of Kindness to Making Friends, Being a Good Friend, & Growing Friendships","kids friendship picture book",unknown,"Juvenile Fiction",0,false,false,,,,,,,"Discover the true meaning of friendship - This charming picture book teaches kids how to be kind, supportive, and caring while building strong and lasting friendships. Perfect for "
Test A,wuE3EQAAQBAJ,"Reading LGBTQ+ Children's Picture Books","kids friendship picture book",critical_study,"Literary Criticism",194,false,false,,,,,,,"Contributions by Sara Austin, Rob Bittner, J. Bradley Blankenship, Gabriel Duckels, Caitlin Howlett, Isabel Millán, Jennifer Miller, Kaylee Jangula Mootz, Tim Morris, Dana Rudolph,"
Test A,VjD2MAAACAAJ,"Give Me Back My Book!","kids friendship picture book",unknown,"Juvenile Fiction",0,false,false,,,,,,,"This book is full of wonderful WORDS and beautiful PICTURES! And it's EXCITING! And it's FUNNY! It might be the BEST BOOK EVER—if we could decide whose book it is. Redd and Bloo ex"
Test A,mlDEEAAAQBAJ,"Stories, Time and Again","kids friendship picture book",nonfiction,"Language Arts & Disciplines",210,false,false,,,,,,,"Lively and imaginative book-based programs make it easy to engage young learners, while building their literacy and reading skills, and their love of books and reading. Your librar"
Test A,E9gYAAAAIAAJ,"The Child's First Books","kids friendship picture book",public_domain_compilation,"Children",66,false,false,,,,,,,"Including a List of Over Four Hundred Selected Books for the Preschool <b>Child</b> Elsa H. Naumburg ... <b>friends</b> . Four and Twenty Toilers .... By E. V. Lucas Illustrated by"
Test A,YNRjEAAAQBAJ,"Saving Our Sons","kids friendship picture book",nonfiction,"Social Science",180,false,false,,,,,,,"Raising Black Teen Boys in Turbulent Times ""It is always heartening to see women step up to the writer's table. When the results are as adroit and affecting as Marita Golden's work"
Test A,znahDwAAQBAJ,"Children’s Literature in Hitler’s Germany","kids friendship picture book",academic_text,"Literary Criticism",349,false,false,,,,,,,"Between 1933 and 1945, National Socialists enacted a focused effort to propagandize children’s literature by distorting existing German values and traditions with the aim of creati"
Test A,22-N0QEACAAJ,"The Magic of Making Friends","kids friendship picture book",nonfiction,"Psychology",0,false,false,,,,,,,"Shadow is a shy black puppy who just moved to a new neighborhood. Surrounded by playful kittens, bunnies, ducklings, and hedgehogs, Shadow feels alone-until a shimmering golden flo"
Test A,LKoKEQAAQBAJ,"How Deep Is Your Love","kids friendship picture book",novel,"Juvenile Fiction",21,true,true,entered_scoring,kids,picture_book,accepted_k2_independent_audience_and_format,,ambiguous,"A majestic picture book based on the Bee Gees's classic love song ""How deep is your love? I really mean to learn 'Cause we're living in a world of fools Breaking us down When they "
Test A,ZRu6DAAAQBAJ,"Flovelys Children ́s Picture Book of love","kids friendship picture book",novel,"Juvenile Fiction",55,true,true,entered_scoring,kids,picture_book,accepted_k2_independent_audience_and_format,,ambiguous,"Children's Book: Flovely ́s Children ́s Picture Book of love „Flovely loves you!“ is a lovingly illustrated Boost-book for young children. Clear images in flat design and simple rh"
Test A,gMtIAAAAcAAJ,"The London Catalogue of Books Published in Great Britain","kids friendship picture book",reference,"",308,false,false,,,,,,,"... <b>Friends</b> , a Tale . Hansard Μ.Α. Gift to his <b>Children</b> . <b>Friendship</b> , a Tale . Leisure Hours . Fruits of Enterprise ; Belzoni&#39;s Travels . Games and Amuse"
Test A,fxcQAQAAMAAJ,"Picture Book Storytelling","kids friendship picture book",nonfiction,"Education",276,false,false,,,,,,,"Grade level: 1, 2, 3, k, p, e, t."
Test A,2DubJ7j7eNwC,"The Missionary Education of Primary Children","kids friendship picture book",public_domain_compilation,"Missions",208,false,false,,,,,,,"... <b>Child</b> Life in Other Lands ; Life in China ; Life in the South Seas ; Life in Africa ; Life in Japan . <b>Picture</b> Sheet Series . <b>Friendship</b> ... <b>Child</b> Li"
Test A,VU7hAAAAMAAJ,"Books Kids Will Sit Still For 3: A Read-Aloud Guide","kids friendship picture book | kids humorous picture book",nonfiction,"Language Arts & Disciplines",974,false,false,,,,,,,"An updated compilation which offers criteria for selecting good read-alouds, indexing over 1,700 books for children by author/illustrator, title, and a wide range of subjects; it i"
Test A,iZFvBAAAQBAJ,"Box Set Set Children's Books: Snake Picture Book - Frog Picture Book - Humor Unicorns - Funny Cat Book For Kids Dog Humor","kids humorous picture book",nonfiction,"Juvenile Nonfiction",527,false,false,,,,,,,"Inside the frog and toad discovery book your child will learn about things like: * What Is The History Of Frogs? * What Are The Differences Between Frogs & Toads * Where Are Frogs "
Test A,Y9xPCwAAQBAJ,"Laugh Out Loud! Book of Funny Pictures all over the World","kids humorous picture book",nonfiction,"Juvenile Nonfiction",15,false,false,,,,,,,"They say laughter is the best medicine, so this picture book comes as your doctor's prescription. This book is a collection of funny pictures from all over the world. This is the p"
Test A,A7ELBgAAQBAJ,"Kid Ebooks With Fun Stories & Kid Jokes","kids humorous picture book",story_collection,"Juvenile Fiction",52,true,false,k2_collection_or_bundle_activity_or_joke_compilation,kids,picture_book,accepted_k2_independent_audience_and_format,k2_collection_or_bundle_activity_or_joke_compilation,activity_or_joke_compilation,"El Ninjo's new kid ebook that is called African Bean Adventures In The Jungle is something for young & old. Whether you're a ""professional"" butt-whistler or just an amateur, El Nin"
Test A,8GUNHGutszEC,"The Essential Guide to Children's Books and Their Creators","kids humorous picture book",reference,"Reference",564,false,false,,,,,,,"Upon publication, Anita Silvey’s comprehensive survey of contemporary children’s literature, Children’s Books and Their Creators, garnered unanimous praise from librarians, educato"
Test A,aVWi0QPMBVMC,"Great Books About Things Kids Love","kids humorous picture book",reference,"Reference",466,false,false,,,,,,,"BOOKS THAT TURN CHILDREN INTO LIFE-LONG READERS! Most children want to read a book because it's about something they love or are curious about--dinosaurs, magic tricks, ballerinas,"
Test A,Q_nc0QEACAAJ,"Would it be Silly If...?","kids humorous picture book",nonfiction,"Juvenile Nonfiction",0,false,false,,,,,,,"This is a 8.5 by 8.5 kids picture book with 32 pages that will have children laughing out loud while answering the questions."
Test A,XX4YnwQACqIC,"The Endless Playground","kids humorous picture book",nonfiction,"Social Science",232,false,false,,,,,,,"This lavishly illustrated book takes a broad sweep through the history of Australian childhood, from the early nineteenth century to the present. Drawing on material from the Libra"
Test A,2VUwAQAAMAAJ,"British Books","kids humorous picture book",reference,"Bibliography",864,false,false,,,,,,,"... BOOK TO CUT AND GLUE . 1s , 6d . net . By Grace G. Wiederseim . PIGGY WIGGY . DUCKY DADDLES Companion books to the &quot; Kitty Puss &quot; Series , which were the &quot; hit o"
Test A,qDAXAAAAIAAJ,"Red Riding Hood, The Seven Kids","kids humorous picture book",public_domain_compilation,"Readers (Elementary)",104,false,false,,,,,,,"... <b>picture book</b> , &quot; Slovenly Peter , &quot; we have in perfect serial story , the tale of a heedless boy&#39;s mishaps at home and at school . The &quot; Slovenly Pete"
Test A,mpRiRwp5xzwC,"The Publishers Weekly","kids humorous picture book",public_domain_compilation,"American literature",1414,false,false,,,,,,,"... <b>humorous</b> drawings in black and white , with nonsense quatrains , distorted ... <b>pictures</b> of the red man . WESTERN LIFE AS SEEN BY E. W. DEMING ... <b>book</b> for "
Test A,OW3SQRo3LDEC,"The Publisher","kids humorous picture book",public_domain_compilation,"",1238,false,false,,,,,,,"... <b>children</b> had upon a little friend less fortunately situated than themselves . A Bunch of Cousins . 2/6 A splendid <b>book</b> for younger <b>children</b> , in which Mrs."
Test A,GJbcgtK2PmIC,"The Publishers' Circular and Booksellers' Record","kids humorous picture book",reference,"Bibliography",916,false,false,,,,,,,"... <b>Book</b> Annual ( 22nd Year ) 6s . net . Crown 4to . <b>Picture</b> Boards . With 12 Plates in Colour and hundreds of illustrations in tints . <b>Humorous</b> Endpapers and "
Test A,1J8LAQAAMAAJ,"Children's Literature","kids humorous picture book",nonfiction,"Education",464,false,false,,,,,,,"Children's Literature: An Invitation to the World is written and organized in a manner that engages the readers and that will instill confidence in teachers when selecting and usin"
Test A,FTcqOUqE7FoC,"The Bookseller","kids humorous picture book",reference,"Bibliography",924,false,false,,,,,,,"... BOOK to CUT &amp; GLUE By C. A. and G. A. Williams . 1s . 6d . net . PIGGY WIGGY By Grace G. Wi derseim Companion books to the &quot; Kity Puss &#39; series , which were the hi"
