round,profileId,overlapCount,addedByBCount,removedByBCount,avgScoreDeltaBMinusA,acceptedDeltaBMinusA,contributionDeltaBMinusA,uniqueAuthorDeltaBMinusA,uniqueSeriesDeltaBMinusA,entropyDeltaBMinusA,ageAppropriateRateDeltaBMinusA
1,scifi-space-opera,0,0,3,-14.9433,-3,-3,-3,-3,0,-1
1,scifi-dystopian,0,0,3,-11.36,-3,-3,-3,-3,0,-1
1,scifi-speculative-mixed,0,0,0,0,0,0,0,0,0,0
2,scifi-space-opera,0,0,3,-14.9433,-3,-3,-3,-3,0,-1
2,scifi-dystopian,0,5,0,14.282,7,5,5,5,0,1
2,scifi-speculative-mixed,0,0,0,0,0,0,0,0,0,0
3,scifi-space-opera,0,4,0,17.06,6,4,4,4,0,1
3,scifi-dystopian,0,0,5,-11.53,-5,-5,-7,-5,0,-1
3,scifi-speculative-mixed,0,0,0,0,0,0,0,0,0,0
4,scifi-space-opera,0,0,0,0,0,0,0,0,0,0
4,scifi-dystopian,0,0,0,0,0,0,0,0,0,0
4,scifi-speculative-mixed,0,0,0,0,0,0,0,0,0,0
