round,queryCandidate,primaryQuery,profileId,rawApiCount,acceptedAfterSourcePolicy,acceptanceRatePct,rejectedBeforeNormalization,normalizedCandidates,recommendationContributionCount,uniqueNarrativeFictionYield,uniqueDecisionWorthyNarrativeYield,selectedCount
1,"young adult science fiction novel","young adult science fiction novel",scifi-space-opera,20,0,0,20,0,0,0,0,0
1,"young adult science fiction novel","young adult science fiction novel",scifi-dystopian,0,0,0,0,0,0,0,0,0
1,"young adult science fiction novel","young adult science fiction novel",scifi-speculative-mixed,0,0,0,0,0,0,0,0,7
1,"YA science fiction","YA science fiction",scifi-space-opera,0,0,0,0,0,0,0,0,0
1,"YA science fiction","YA science fiction",scifi-dystopian,0,0,0,0,0,0,0,0,6
1,"YA science fiction","YA science fiction",scifi-speculative-mixed,0,0,0,0,0,0,0,0,0
1,"young adult sci fi","young adult sci fi",scifi-space-opera,0,0,0,0,0,0,0,0,0
1,"young adult sci fi","young adult sci fi",scifi-dystopian,0,0,0,0,0,0,0,0,0
1,"young adult sci fi","young adult sci fi",scifi-speculative-mixed,0,0,0,0,0,0,0,0,7
1,"teen science fiction","teen science fiction",scifi-space-opera,0,0,0,0,0,0,0,0,0
1,"teen science fiction","teen science fiction",scifi-dystopian,0,0,0,0,0,0,0,0,6
1,"teen science fiction","teen science fiction",scifi-speculative-mixed,20,4,20,16,4,3,4,0,10
1,"young adult dystopian fiction","young adult dystopian fiction",scifi-space-opera,12,2,16.67,10,2,1,2,0,1
1,"young adult dystopian fiction","young adult dystopian fiction",scifi-dystopian,0,0,0,0,0,0,0,0,0
1,"young adult dystopian fiction","young adult dystopian fiction",scifi-speculative-mixed,0,0,0,0,0,0,0,0,7
1,"YA dystopian","YA dystopian",scifi-space-opera,20,6,30,14,6,4,6,0,4
1,"YA dystopian","YA dystopian",scifi-dystopian,20,7,35,13,7,5,7,0,10
1,"YA dystopian","YA dystopian",scifi-speculative-mixed,0,0,0,0,0,0,0,0,7
1,"YA speculative fiction","YA speculative fiction",scifi-space-opera,20,3,15,17,3,3,3,0,10
1,"YA speculative fiction","YA speculative fiction",scifi-dystopian,0,0,0,0,0,0,0,0,6
1,"YA speculative fiction","YA speculative fiction",scifi-speculative-mixed,0,0,0,0,0,0,0,0,0
1,"YA space opera","YA space opera",scifi-space-opera,0,0,0,0,0,0,0,0,7
1,"YA space opera","YA space opera",scifi-dystopian,0,0,0,0,0,0,0,0,6
1,"YA space opera","YA space opera",scifi-speculative-mixed,0,0,0,0,0,0,0,0,7
1,"science fiction for teens","science fiction for teens",scifi-space-opera,0,0,0,0,0,0,0,0,0
1,"science fiction for teens","science fiction for teens",scifi-dystopian,20,1,5,19,1,1,1,0,5
1,"science fiction for teens","science fiction for teens",scifi-speculative-mixed,20,1,5,19,1,1,1,0,1
2,"young adult science fiction novel","young adult science fiction novel",scifi-space-opera,20,0,0,20,0,0,0,0,0
2,"young adult science fiction novel","young adult science fiction novel",scifi-dystopian,20,0,0,20,0,0,0,0,6
2,"young adult science fiction novel","young adult science fiction novel",scifi-speculative-mixed,20,0,0,20,0,0,0,0,0
2,"YA science fiction","YA science fiction",scifi-space-opera,0,0,0,0,0,0,0,0,0
2,"YA science fiction","YA science fiction",scifi-dystopian,0,0,0,0,0,0,0,0,6
2,"YA science fiction","YA science fiction",scifi-speculative-mixed,0,0,0,0,0,0,0,0,0
