round,scopeFamily,requiredFamily,profileId,profileLabel,controlRunId,experimentalRunId,controlElapsedMs,experimentalElapsedMs,addedWallClockMs,controlEligibleTimeoutCount,retryAttemptCount,retrySuccessCount,recoveredRawDocs,recoveredAcceptedAfterSourcePolicy,recoveredFinalContribution,slowdownWindowObserved,hasRetrySuccess,slateChanged,titlesAddedCount,titlesDroppedCount,titlesReorderedCount
1,fantasy,fantasy,fantasy-high-epic,High epic fantasy,cf-control-fantasy-r1,cf-experimental-fantasy-r1,6277,3252,-3025,1,0,0,0,0,0,false,false,false,0,0,0
1,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,cf-control-mystery_thriller-r1,cf-experimental-mystery_thriller-r1,488,301,-187,0,0,0,0,0,0,false,false,false,0,0,0
1,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,cf-control-horror_paranormal-r1,cf-experimental-horror_paranormal-r1,840,557,-283,0,0,0,0,0,0,false,false,false,0,0,0
1,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r1,cf-experimental-speculative_scifi-r1,2146,1531,-615,0,0,0,0,0,0,false,false,false,0,0,0
1,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r1,cf-experimental-contemporary-r1,628,581,-47,0,0,0,0,0,0,false,false,false,0,0,0
1,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r1,cf-experimental-romance-r1,798,838,40,0,0,0,0,0,0,false,false,false,0,0,0
1,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,cf-control-adventure_historical-r1,cf-experimental-adventure_historical-r1,2088,1892,-196,0,0,0,0,0,0,false,false,false,0,0,0
2,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,cf-control-mystery_thriller-r2,cf-experimental-mystery_thriller-r2,534,194,-340,0,0,0,0,0,0,false,false,false,0,0,0
2,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,cf-control-horror_paranormal-r2,cf-experimental-horror_paranormal-r2,346,1292,946,0,0,0,0,0,0,false,false,false,0,0,0
2,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r2,cf-experimental-speculative_scifi-r2,2394,1239,-1155,1,0,0,0,0,0,false,false,false,0,0,0
2,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r2,cf-experimental-contemporary-r2,1653,1052,-601,0,0,0,0,0,0,false,false,false,0,0,0
2,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r2,cf-experimental-romance-r2,437,1355,918,0,0,0,0,0,0,false,false,false,0,0,0
2,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,cf-control-adventure_historical-r2,cf-experimental-adventure_historical-r2,3435,1581,-1854,0,0,0,0,0,0,false,false,false,0,0,0
2,fantasy,fantasy,fantasy-high-epic,High epic fantasy,cf-control-fantasy-r2,cf-experimental-fantasy-r2,5486,4803,-683,1,0,0,0,0,0,false,false,false,0,0,0
3,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,cf-control-horror_paranormal-r3,cf-experimental-horror_paranormal-r3,895,332,-563,0,0,0,0,0,0,false,false,false,0,0,0
3,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r3,cf-experimental-speculative_scifi-r3,2588,985,-1603,0,0,0,0,0,0,false,false,false,0,0,0
3,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r3,cf-experimental-contemporary-r3,1378,1353,-25,0,0,0,0,0,0,false,false,false,0,0,0
3,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r3,cf-experimental-romance-r3,1558,724,-834,0,0,0,0,0,0,false,false,false,0,0,0
3,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,cf-control-adventure_historical-r3,cf-experimental-adventure_historical-r3,1476,2022,546,0,0,0,0,0,0,false,false,false,0,0,0
3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,cf-control-fantasy-r3,cf-experimental-fantasy-r3,6422,4456,-1966,0,0,0,0,0,0,false,false,false,0,0,0
3,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,cf-control-mystery_thriller-r3,cf-experimental-mystery_thriller-r3,346,381,35,0,0,0,0,0,0,false,false,false,0,0,0
4,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r4,cf-experimental-speculative_scifi-r4,930,1259,329,0,0,0,0,0,0,false,false,false,0,0,0
4,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r4,cf-experimental-contemporary-r4,1431,864,-567,0,0,0,0,0,0,false,false,false,0,0,0
4,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r4,cf-experimental-romance-r4,925,668,-257,0,0,0,0,0,0,false,false,false,0,0,0
4,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,cf-control-adventure_historical-r4,cf-experimental-adventure_historical-r4,2117,1753,-364,0,0,0,0,0,0,false,false,false,0,0,0
4,fantasy,fantasy,fantasy-high-epic,High epic fantasy,cf-control-fantasy-r4,cf-experimental-fantasy-r4,4207,3758,-449,0,0,0,0,0,0,false,false,false,0,0,0
4,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,cf-control-mystery_thriller-r4,cf-experimental-mystery_thriller-r4,473,581,108,0,0,0,0,0,0,false,false,false,0,0,0
4,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,cf-control-horror_paranormal-r4,cf-experimental-horror_paranormal-r4,818,958,140,0,0,0,0,0,0,false,false,false,0,0,0
5,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r5,cf-experimental-contemporary-r5,1373,497,-876,0,0,0,0,0,0,false,false,false,0,0,0
5,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r5,cf-experimental-romance-r5,1020,913,-107,0,0,0,0,0,0,false,false,false,0,0,0
5,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,cf-control-adventure_historical-r5,cf-experimental-adventure_historical-r5,1687,1907,220,0,0,0,0,0,0,false,false,false,0,0,0
5,fantasy,fantasy,fantasy-high-epic,High epic fantasy,cf-control-fantasy-r5,cf-experimental-fantasy-r5,3276,2588,-688,0,0,0,0,0,0,false,false,false,0,0,0
5,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,cf-control-mystery_thriller-r5,cf-experimental-mystery_thriller-r5,224,188,-36,0,0,0,0,0,0,false,false,false,0,0,0
5,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,cf-control-horror_paranormal-r5,cf-experimental-horror_paranormal-r5,397,499,102,0,0,0,0,0,0,false,false,false,0,0,0
5,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r5,cf-experimental-speculative_scifi-r5,1045,735,-310,0,0,0,0,0,0,false,false,false,0,0,0
6,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r6,cf-experimental-romance-r6,783,483,-300,0,0,0,0,0,0,false,false,false,0,0,0
6,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,cf-control-adventure_historical-r6,cf-experimental-adventure_historical-r6,1399,1999,600,0,0,0,0,0,0,false,false,false,0,0,0
6,fantasy,fantasy,fantasy-high-epic,High epic fantasy,cf-control-fantasy-r6,cf-experimental-fantasy-r6,3627,2412,-1215,0,0,0,0,0,0,false,false,false,0,0,0
6,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,cf-control-mystery_thriller-r6,cf-experimental-mystery_thriller-r6,169,162,-7,0,0,0,0,0,0,false,false,false,0,0,0
6,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,cf-control-horror_paranormal-r6,cf-experimental-horror_paranormal-r6,298,838,540,0,0,0,0,0,0,false,false,false,0,0,0
6,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r6,cf-experimental-speculative_scifi-r6,1028,1726,698,0,0,0,0,0,0,false,false,false,0,0,0
6,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r6,cf-experimental-contemporary-r6,616,622,6,0,0,0,0,0,0,false,false,false,0,0,0
7,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,cf-control-adventure_historical-r7,cf-experimental-adventure_historical-r7,1117,1219,102,0,0,0,0,0,0,false,false,false,0,0,0
7,fantasy,fantasy,fantasy-high-epic,High epic fantasy,cf-control-fantasy-r7,cf-experimental-fantasy-r7,1006,2831,1825,0,0,0,0,0,0,false,false,false,0,0,0
7,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,cf-control-mystery_thriller-r7,cf-experimental-mystery_thriller-r7,325,337,12,0,0,0,0,0,0,false,false,false,0,0,0
7,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,cf-control-horror_paranormal-r7,cf-experimental-horror_paranormal-r7,470,1571,1101,0,0,0,0,0,0,false,false,false,0,0,0
7,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r7,cf-experimental-speculative_scifi-r7,1515,1131,-384,0,0,0,0,0,0,false,false,false,0,0,0
7,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r7,cf-experimental-contemporary-r7,567,584,17,0,0,0,0,0,0,false,false,false,0,0,0
7,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r7,cf-experimental-romance-r7,707,514,-193,0,0,0,0,0,0,false,false,false,0,0,0
8,fantasy,fantasy,fantasy-high-epic,High epic fantasy,cf-control-fantasy-r8,cf-experimental-fantasy-r8,1689,3915,2226,0,0,0,0,0,0,false,false,false,0,0,0
8,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,cf-control-mystery_thriller-r8,cf-experimental-mystery_thriller-r8,294,648,354,0,0,0,0,0,0,false,false,false,0,0,0
8,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,cf-control-horror_paranormal-r8,cf-experimental-horror_paranormal-r8,845,939,94,0,0,0,0,0,0,false,false,false,0,0,0
8,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r8,cf-experimental-speculative_scifi-r8,992,1730,738,0,0,0,0,0,0,false,false,false,0,0,0
8,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r8,cf-experimental-contemporary-r8,1145,1708,563,0,0,0,0,0,0,false,false,false,0,0,0
8,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r8,cf-experimental-romance-r8,1218,1046,-172,0,0,0,0,0,0,false,false,false,0,0,0
8,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,cf-control-adventure_historical-r8,cf-experimental-adventure_historical-r8,2230,1744,-486,0,0,0,0,0,0,false,false,false,0,0,0
9,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,cf-control-mystery_thriller-r9,cf-experimental-mystery_thriller-r9,161,117,-44,0,0,0,0,0,0,false,false,false,0,0,0
9,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,cf-control-horror_paranormal-r9,cf-experimental-horror_paranormal-r9,845,974,129,0,0,0,0,0,0,false,false,false,0,0,0
9,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r9,cf-experimental-speculative_scifi-r9,831,1007,176,0,0,0,0,0,0,false,false,false,0,0,0
9,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r9,cf-experimental-contemporary-r9,929,757,-172,0,0,0,0,0,0,false,false,false,0,0,0
9,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r9,cf-experimental-romance-r9,655,318,-337,0,0,0,0,0,0,false,false,false,0,0,0
9,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,cf-control-adventure_historical-r9,cf-experimental-adventure_historical-r9,1235,1117,-118,0,0,0,0,0,0,false,false,false,0,0,0
9,fantasy,fantasy,fantasy-high-epic,High epic fantasy,cf-control-fantasy-r9,cf-experimental-fantasy-r9,4138,4714,576,0,0,0,0,0,0,false,false,false,0,0,0
10,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,cf-control-horror_paranormal-r10,cf-experimental-horror_paranormal-r10,1281,436,-845,0,0,0,0,0,0,false,false,false,0,0,0
10,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r10,cf-experimental-speculative_scifi-r10,696,687,-9,0,0,0,0,0,0,false,false,false,0,0,0
10,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r10,cf-experimental-contemporary-r10,580,662,82,0,0,0,0,0,0,false,false,false,0,0,0
10,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r10,cf-experimental-romance-r10,548,464,-84,0,0,0,0,0,0,false,false,false,0,0,0
10,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,cf-control-adventure_historical-r10,cf-experimental-adventure_historical-r10,1182,1761,579,0,0,0,0,0,0,false,false,false,0,0,0
10,fantasy,fantasy,fantasy-high-epic,High epic fantasy,cf-control-fantasy-r10,cf-experimental-fantasy-r10,2600,1703,-897,0,0,0,0,0,0,false,false,false,0,0,0
10,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,cf-control-mystery_thriller-r10,cf-experimental-mystery_thriller-r10,158,143,-15,0,0,0,0,0,0,false,false,false,0,0,0
11,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,cf-control-speculative_scifi-r11,cf-experimental-speculative_scifi-r11,1218,1207,-11,0,0,0,0,0,0,false,false,false,0,0,0
11,contemporary,contemporary/romance,contemporary-coming-of-age,Coming-of-age contemporary,cf-control-contemporary-r11,cf-experimental-contemporary-r11,1002,1155,153,0,0,0,0,0,0,false,false,false,0,0,0
11,romance,contemporary/romance,romance-contemporary-sweet,Sweet contemporary romance,cf-control-romance-r11,cf-experimental-romance-r11,685,404,-281,0,0,0,0,0,0,false,false,false,0,0,0
11,adventure_historical,adventure/historical,historical-adventure-exploration,Historical adventure and exploration,cf-control-adventure_historical-r11,cf-experimental-adventure_historical-r11,906,1382,476,0,0,0,0,0,0,false,false,false,0,0,0
11,fantasy,fantasy,fantasy-high-epic,High epic fantasy,cf-control-fantasy-r11,cf-experimental-fantasy-r11,2331,2768,437,0,0,0,0,0,0,false,false,false,0,0,0
11,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,cf-control-mystery_thriller-r11,cf-experimental-mystery_thriller-r11,102,171,69,0,0,0,0,0,0,false,false,false,0,0,0
11,horror_paranormal,horror/paranormal,horror-supernatural-ghost,Supernatural and ghost horror,cf-control-horror_paranormal-r11,cf-experimental-horror_paranormal-r11,767,1071,304,0,0,0,0,0,0,false,false,false,0,0,0
