report,presetTestName,title,weakReason,weakUsedForUnderfill,finalEligibilityReason,tierReason,publicationShape,descriptionPresent,descriptionLength,isbnPresent,candidateNativeSpecificSignalCount,queryFamilyOnlySignalCount,categoryOnlySignalCount,genreSignalCount,storyNarrativeEvidenceCount,dislikedSignalCount,netScore,wouldPassWithoutQueryEvidence,externalOrNormalizedGenreWithoutGoogleNative,metadataSparse
"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt","Test A","The Role of Nature in the Works of Octavia Butler",publication_identity_rejected,false,"teen_googlebooks_publication_identity_literary_study","teen_googlebooks_publication_identity_literary_study","novel",true,,true,0,6,0,2,2,3,17.675,false,true,false
"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt","Test A","Pretties with Ugly Thoughts",query_only_unresolved,true,"teens_googlebooks_named_final_eligibility_passed","selected_weak_underfill_fallback","novel",true,,true,0,5,0,2,4,4,15.869,false,true,false
"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt","Test A","Divergent Official Illustrated Movie Companion",publication_identity_rejected,false,"teen_googlebooks_publication_identity_supplemental_companion","teen_googlebooks_publication_identity_supplemental_companion","novel",true,,true,0,6,0,2,1,3,15.869,false,true,false
"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt","Test A","Last Chance Books",query_only_unresolved,true,"teens_googlebooks_named_final_eligibility_passed","selected_weak_underfill_fallback","novel",true,,true,0,5,0,2,2,3,15.869,false,true,false
"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt","Test A","Your Eyes in Stars",query_only_unresolved,false,"teens_googlebooks_named_final_eligibility_passed","weak_not_needed_after_higher_ranked_weak_underfill","unknown",true,,true,0,5,0,2,1,3,18.119,false,true,false
"pasted-text-7a44d26a-1b4e-4000-b759-0878cf780afd.txt","Test B","Your Eyes in Stars",query_only_unresolved,true,"teens_googlebooks_named_final_eligibility_passed","selected_weak_underfill_fallback","unknown",true,,true,0,7,0,2,1,5,13.941,false,true,false
"pasted-text-7a44d26a-1b4e-4000-b759-0878cf780afd.txt","Test B","Someone Like Summer",query_only_unresolved,true,"teens_googlebooks_named_final_eligibility_passed","selected_weak_underfill_fallback","novel",true,,true,0,6,0,2,2,4,11.284,false,true,false
"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt","Test C","Malcolm and Juliet",query_only_unresolved,true,"teens_googlebooks_named_final_eligibility_passed","selected_weak_underfill_fallback","novel",true,,true,0,5,0,2,3,4,14.469,false,true,false
"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt","Test C","Crowned (A Conyza Bennett story, Book 3)",query_only_unresolved,true,"teens_googlebooks_named_final_eligibility_passed","selected_weak_underfill_fallback","series_installment",true,,true,0,5,0,2,1,4,14.469,false,true,false
"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt","Test C","The Red Queen: The Obernewtyn Chronicles Volume 7",query_only_unresolved,false,"teens_googlebooks_named_final_eligibility_passed_via:teen_googlebooks_audience_reconciliation_rescue","weak_not_needed_after_higher_ranked_weak_underfill","series_installment",true,,true,0,4,0,2,3,3,9.209,false,true,false
"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt","Test C","Starclimber",query_only_unresolved,false,"teens_googlebooks_named_final_eligibility_passed_via:teen_googlebooks_audience_reconciliation_rescue","weak_not_needed_after_higher_ranked_weak_underfill","novel",true,,true,0,4,0,2,2,3,7.456,false,true,false
"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt","Test C","Wolfborn",query_only_unresolved,false,"teens_googlebooks_named_final_eligibility_passed_via:teen_googlebooks_audience_reconciliation_rescue","weak_not_needed_after_higher_ranked_weak_underfill","novel",true,,true,0,4,0,2,3,3,7.456,false,true,false
